Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_KT5226,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77749_EMLK,PortLoko,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4865,Kambia,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4864,Kambia,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4866,Kambia,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL8486,Unknown,25-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4561,PortLoko,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_KT4631,WesternUrban,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4679,Unknown,12-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12192_EMLH,WesternUrban,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4569,PortLoko,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_PL5534,PortLoko,29-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_12579_EMLH,WesternRural,20-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7376,PortLoko,27-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_375_EMLH,Unknown,21-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL6070,Kambia,11-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL5674,PortLoko,31-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0806_C2_KT2669,Unknown,13-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10454_EMLK,WesternUrban,12-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77768_EMLK,Unknown,14-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C1_MK1197,Unknown,17-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_18642R_EMLH,WesternUrban,08-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_448_EMLH,WesternUrban,27-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_13275_EMLH,Unknown,24-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5214,Unknown,20-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C2_KT5786,WesternUrban,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2008R2,WesternUrban,12-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2437,Unknown,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14776_EMLK,Kambia,23-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2321,PortLoko,02-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C2_MK2370,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10455_EMLK,Unknown,12-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7678,PortLoko,06-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77643_EMLK,WesternUrban,07-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77688_EMLK,WesternUrban,09-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10113_EMLK,WesternRural,24-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2342,Unknown,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2343,Unknown,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12854_EMLH,WesternUrban,15-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_10012_EMLK,WesternRural,18-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2344,Unknown,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15360_EMLK,Kambia,08-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0393,Unknown,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4194,PortLoko,02-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12666_EMLH,WesternRural,26-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4187,PortLoko,01-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4256R,PortLoko,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_480_EMLH,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77748_EMLK,Unknown,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77725_EMLK,Unknown,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2790,Bombali,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2788,Bombali,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77727_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_651_EMLH,Unknown,07-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4886,PortLoko,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10066_EMLK,WesternUrban,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12229_EMLH,WesternRural,27-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C2_MK2371,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_77563_EMLK,WesternUrban,02-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2282R,Bombali,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2906_C2_MK0365,Bombali,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2906_C2_MK0364,Bombali,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2906_C2_MK0366,Bombali,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2906_C2_MK0368,Bombali,21-Dec-2014
